mfg_number,quantity,price,mfg_name,description
EEV106M035A9BAA,1,3.47,KEMET,CAP ALUM 10UF 20% 35V SMD
EDK107M025A9LAA,1,5.21,KEMET,CAP ALUM 100UF 20% 25V SMD
ESH107M450AN2AA,1,28.2,KEMET,CAP ALUM 100UF 20% 450V RADIAL
PEG225KF4120ME4,1,78.39,KEMET,CAP ALUM 1200UF 20% 40V AXIAL TH
PEH534YDC3220M2,1,96.59,KEMET,CAP ALUM 220UF 20% 450V SNAP TH
ALC80A471DG450,1,119.82,KEMET,CAP ALUM 470UF 20% 450V SNAP TH
PEG124YL2470QE4,1,123.13,KEMET,CAP ALUM 47UF 450V AXIAL TH
ALA7DA391DF550,1,156.13,KEMET,CAP ALUM 390UF 20% 550V SNAP TH
ALC70A102EH450,1,157.12,KEMET,CAP ALUM 1000UF 20% 450V SNAP TH
ALC40A471DH450,1,162.33,KEMET,CAP ALUM 470UF 20% 450V SNAP TH
ALC80E471EF500,1,173.91,KEMET,CAP ALUM 470UF 20% 500V SNAP TH
ALC10C102EL400,1,209.96,KEMET,CAP ALUM 1000UF 20% 400V SNAP TH
ALC10C102EP500,1,283.31,KEMET,CAP ALUM 1000UF 20% 500V SNAP TH
ALC70C102FP600,1,443.24,KEMET,CAP ALUM 1000UF 20% 600V SNAP TH
ALS70A182LM630,1,590.6,KEMET,CAP ALUM 1800UF 20% 630V SCREW
ALS30A332NP450,1,629.31,KEMET,CAP ALUM 3300UF 20% 450V SCREW
ALS70A622NF450,1,631.21,KEMET,CAP ALUM 6200UF 20% 450V SCREW
ALS70A622NJ450,1,638.07,KEMET,CAP ALUM 6200UF 20% 450V SCREW
PEH169MT5220QB2,1,669.99,KEMET,CAP ALUM 22000UF 63V SCREW CHAS
ALS31C472NP400,1,706.54,KEMET,CAP ALUM SCREW TERM 85C
ALS70A244NS063,1,720.93,KEMET,CAP ALUM 240000UF 20% 63V SCREW
ALS70A822QM450,1,837.78,KEMET,CAP ALUM 8200UF 20% 450V SCREW
ALS30A682NP400,1,883.51,KEMET,CAP ALUM 6800UF 20% 400V SCREW
ALS70A332NP630,1,893.93,KEMET,CAP ALUM 3300UF 20% 630V SCREW
ALS70A105QW025,1,920.14,KEMET,CAP ALUM 1F 20% 25V SCREW CHAS M
ALS70A472QP630,1,1053.28,KEMET,CAP ALUM 4700UF 20% 630V SCREW
ALS70A473QS200,1,1196.67,KEMET,CAP ALUM 47000UF 20% 200V SCREW
ALS70A163QS450,1,1328.57,KEMET,CAP ALUM 16000UF 20% 450V SCREW
ALS70A243QT350,1,1333.2,KEMET,CAP ALUM 24000UF 20% 350V SCREW
ALS70A133QT500,1,1499.09,KEMET,CAP ALUM 13000UF 20% 500V SCREW
ALS70A113QT550,1,1715.17,KEMET,CAP ALUM 11000UF 20% 550V SCREW
ESK105M050AC3AA,1,1.24,KEMET,CAP ALUM 1UF 20% 50V RADIAL TH
ESH106M035AC3AA,1,1.24,KEMET,CAP ALUM 10UF 20% 35V RADIAL TH
ESK226M025AC3AA,1,1.32,KEMET,CAP ALUM 22UF 20% 25V RADIAL TH
ESK106M035AC3AA,1,1.32,KEMET,CAP ALUM 10UF 20% 35V RADIAL TH
ESK106M063AC3AA,1,1.32,KEMET,CAP ALUM 10UF 20% 63V RADIAL TH
ESK105M100AC3AA,1,1.32,KEMET,CAP ALUM RAD 85C
ESK106M063AC3FA,1,1.32,KEMET,CAP ALUM 10UF 20% 63V RADIAL TH
ESK336M035AC3AA,1,1.32,KEMET,CAP ALUM 33UF 20% 35V RADIAL TH
ESK106M050AC3AA,1,1.32,KEMET,CAP ALUM 10UF 20% 50V RADIAL TH
ESK475M035AC3AA,1,1.32,KEMET,CAP ALUM 4.7UF 20% 35V RADIAL TH
ESK225M100AC3AA,1,1.41,KEMET,CAP ALUM 2.2UF 20% 100V RADIAL
ESH107M010AC3AA,1,1.41,KEMET,CAP ALUM 100UF 20% 10V RADIAL TH
ESK107M010AC3AA,1,1.41,KEMET,CAP ALUM 100UF 20% 10V RADIAL TH
ESK226M050AC3AA,1,1.41,KEMET,CAP ALUM 22UF 20% 50V RADIAL TH
ESE225M100AC3AA,1,1.41,KEMET,CAP ALUM 2.2UF 20% 100V RADIAL
ESE105M100AC3EA,1,1.41,KEMET,CAP ALUM 1UF 20% 100V RADIAL TH
ESH226M025AC3AA,1,1.41,KEMET,CAP ALUM 22UF 20% 25V RADIAL TH
ESK476M035AC3EA,1,1.41,KEMET,CAP ALUM 47UF 20% 35V RADIAL TH
ESS106M025AB2AA,1,1.41,KEMET,CAP ALUM 10UF 20% 25V RADIAL TH
ESH476M025AC3AA,1,1.41,KEMET,CAP ALUM 47UF 20% 25V RADIAL TH
ESH475M050AC3AA,1,1.41,KEMET,CAP ALUM 4.7UF 20% 50V RADIAL TH
ESK226M016AC3AA,1,1.41,KEMET,CAP ALUM 22UF 20% 16V RADIAL TH
ESK476M035AC3AA,1,1.41,KEMET,CAP ALUM 47UF 20% 35V RADIAL TH
